"trip_id","duration"
"1323939","9698"
"925983","7071"
"1304861","3684"
"1218220","2879"
"1279726","2122"
"1305773","2092"
"1279806","2003"
"1128013","1933"
"1233563","1801"
"959118","1668"
"1128046","1591"
"1108232","1372"
"1226893","1369"
"963198","1354"
"1327190","1340"
"1196795","1265"
"1226034","1264"
"920943","1201"
"1225967","1188"
"1336696","1156"
"1011475","1149"
"1329004","1120"
"1108279","1046"
"1332971","1038"
"1321227","1036"
"997902","1000"
"1324074","994"
"1244372","992"
"1328948","981"
"1225993","977"
"1065112","943"
"1116254","928"
"1225620","908"
"1338147","906"
"1324070","829"
"1151936","827"
"1153576","810"
"969477","804"
"958051","798"
"1322783","798"
"1328352","795"
"1328504","790"
"1316780","790"
"1326703","789"
"1179572","778"
"1072445","776"
"1119398","764"
"1275250","761"
"1317520","758"
"1221514","749"
"1327977","746"
"1303296","740"
"1321455","737"
"1244491","733"
"967840","725"
"1203332","724"
"1332452","723"
"1279993","691"
"985898","672"
"1119102","659"
"1318312","659"
"1278359","651"
"1322761","649"
"1174221","644"
"1213839","636"
"1326593","635"
"1336842","620"
"1329992","614"
"1015548","599"
"1316880","598"
"1322339","589"
"1159495","580"
"1317834","575"
"1217618","561"
"1212676","550"
"1211114","531"
"1319073","526"
"1321475","514"
"965996","512"
"1332566","509"
"1203221","506"
"1319356","500"
